17.57,6.61,0.22,16.74,6.61,0.06,15.91,4.23,-0.1,16.37,5.35,1.05
12.68,8,-2.06,6.45,7.15,-8.97,4.5,6.9,-14.87,13.29,8,-2.23
8.93,-3.59,-6.32,7.17,-2.85,-9.06,7.28,0.13,-6.91,10.88,-2.31,-9.03
28.09,8,35.79,21.86,8,37.73,21.9,8,32.62,24.18,4.78,35.57
28.01,0,11.47,24.29,4,14.59,24.29,4,10.75,22.36,-0.01,12.81
7.57,-8,-0.62,6.2,-7.08,-11.54,3.5,-7.17,-14.59,4.02,-8,0.37
6.34,7.18,-4.87,7.13,5.1,-2.33,7.24,5.18,-6.43,8.67,6.91,-5.53
14.3,2.74,-2.81,14.31,3.09,-2.67,13.5,2.23,-2.07,14.53,2.84,-2.64
11.25,-3.79,2.54,11.97,-1.21,0.53,9.92,-0.47,2.35,13.08,-0.66,0.94
21.35,5.62,-1.31,21.35,1.51,-1.31,11.92,-0.33,-13.13,28,3.89,0
5.47,3.31,2.76,5.45,3.91,1.51,5.05,5.42,5.04,7.46,5.17,0.94
8.83,-7.19,-0.98,9.42,-7.43,-1.14,10.08,-6.92,-1.54,10.08,-5.44,0.51
13.36,-8,83.91,10.22,-8,79.48,7.2,-8,83.6,8.67,-4,81.89
15.94,8,10.07,10.75,4.4,7.3,11.3,8,6.28,15.54,4.4,6.67
1.41,4.1,2.36,1.01,3.93,4.64,1.41,2.89,2.36,2.35,3.79,3.35
4.5,6.9,-14.87,7,3.18,-12.81,3.08,1.3,-14.47,8.48,5.49,-15.98
12.55,1.63,3.83,8.59,2.84,2.16,9.33,4.29,2.44,11.75,2.65,0.75
10.27,5.53,-9.44,12.17,4.67,-5.9,15.12,8,-2.53,14.92,8,-2.57
9.59,4,33.94,3.37,4,30.78,3.45,8,33.3,9.5,8,31.43
19.69,-4,72.82,16.75,-3.99,69.79,21.85,-4,68.04,20.78,-8,70.49
14.35,2.4,-2.98,15.19,-0.16,-2.52,14.71,2.57,-2.61,14.95,-0.15,-2.64
10.63,8,-1.48,10.79,7.76,-1.53,11.76,7.33,-0.75,11.2,7.08,-0.6
28,0,15.32,24.29,4,14.59,28.01,0,11.47,22.36,-0.01,12.81
9.1,8,-1.05,10.97,8,2.4,9.43,8,2.83,10.23,7.33,-0.32
4.23,-6.16,-0.03,1.61,-5.63,-6.76,7.72,-7.14,-4.68,4.02,-8,0.37
8.31,-8,66.66,12.63,-8,64.16,8.23,-8,61.55,8.26,-4,64.04
5.16,-4,13.7,9.19,-3.6,11.35,6.57,-1.04,15.26,9.59,-5.04,15.94
24.68,-4,15.04,21.37,-8,14.76,20.27,-4.28,17.63,19.05,-4.01,12.52
2.51,-6.71,-10.5,3.36,-1.75,-8.56,1.61,-5.63,-6.76,7.17,-2.85,-9.06
19.69,8,-1.63,21.35,5.62,-1.31,21.35,8,-1.31,19.46,8,1.54
10.75,4.4,7.3,13.02,7.03,4.12,10.68,6.87,4.5,11.3,8,6.28
13.82,6.36,0.96,13.9,4.56,-0.34,14.83,4.26,0.65,13.1,5.23,2.81
13.77,6.3,-1.32,13.09,7.33,-1.13,13.76,7.1,-0.9,13.77,7.33,-1.32
21.89,0.09,52.97,22.39,4.09,50.54,22.74,0.09,47.97,20.07,2.11,47.72
15.95,8,-2.37,12.17,4.67,-5.9,14.68,6.97,-2.62,15.54,8,-2.45
23.78,0.1,37.91,23.72,4.1,40.46,20.87,2.13,42.72,23.54,0.1,42.97
7.72,-7.14,-4.68,6.2,-7.08,-11.54,7.57,-8,-0.62,4.02,-8,0.37
25.51,-1.97,31.67,21.65,-1.19,28.9,19.33,-5.97,31.06,21.92,-4,35.19
24.99,-5.98,42.48,24.46,-5.98,47.57,21.34,-8,42.77,27.62,-8,45.89
14.22,2.72,-2.99,14.31,3.09,-2.67,14.3,2.74,-2.81,14.53,2.84,-2.64
13.64,-0.75,-2.06,14.58,-2.87,-2.64,12.73,-3.25,-0.24,14.35,-2.77,-2.77
24.29,8,12.04,20.58,8,13.86,20.73,8,9.45,24.29,4,10.75
7.72,-7.14,-4.68,1.61,-5.63,-6.76,7.8,-3.84,-2.51,8.93,-3.59,-6.32
18.56,8,62.57,13.95,3.97,61.71,12.63,8,64.16,13.16,8,59.41
3.41,3.04,-7.87,5.52,0.87,-9.64,6.77,2.04,-6.76,3.2,0.35,-4.45
9.71,4.65,0.05,9.33,4.29,2.44,8.59,2.84,2.16,10.74,4.75,1.07
11.16,6.51,-1.79,10.91,4.11,-0.03,10.06,4.79,0.21,10.84,6.46,-2.06
5.46,0.97,3.04,6.27,-0.05,6.11,9.39,1.82,5.23,6.82,3.55,5.1
10.09,-3.46,-3.16,8.93,-3.59,-6.32,9.98,-6.44,-5.31,8.98,-3.86,-2.84
13.16,8,59.41,9.55,3.97,59.1,8.76,8,56.79,14.48,3.97,56.96
14.26,6.07,-0.17,13.9,4.56,-0.34,15.12,4.81,-0.88,15.63,5.49,-0.32
23.72,4.1,40.46,27.83,4,43.38,24.94,2.03,45.66,23.54,0.1,42.97
6.39,-7.52,-0.29,6.55,-7.07,-0.86,6.98,-7.76,-0.46,4.02,-8,0.37
18.51,-0.88,7.16,19.7,3.56,6.1,23.26,-0.44,7.4,23.25,-0.55,3.58
12.11,-4.29,-0.06,12.11,-5.63,-2.42,12.11,-5.8,-2.13,11.19,-5.05,0.2
13.76,7.1,-0.9,14.65,7.52,-1.01,14.64,7.53,-1.39,13.77,7.33,-1.32
8.31,0.01,66.5,9.59,-0.03,61.59,3.9,0,63.92,8.26,4,64.04
9.05,5.18,0.49,9.33,4.29,2.44,10.06,4.79,0.21,10.74,4.75,1.07
9.05,-0.62,-4.17,8.93,-3.59,-6.32,10.09,-3.46,-3.16,8.98,-3.86,-2.84
10.31,-2.04,31.53,10.85,-0.51,26.59,10.06,-2.83,25.41,6.75,-1.41,29.36
7.53,3.98,78.38,10.72,-0.03,77.39,11.23,3.98,74.84,13.42,3.98,78.49
1.92,3.55,5.92,6.72,4,9.65,6.27,-0.05,6.11,6.82,3.55,5.1
21.86,8,37.73,25.12,6.03,43.14,21.34,8,42.77,23.72,4.1,40.46
6.37,-5.89,5.23,5.85,-3.6,8.12,1.92,-4.45,5.92,1.5,-8,7.93
4.74,1.34,1.45,4.79,2.75,1.69,2.34,1.45,3.64,5.46,0.97,3.04
13.98,-1.91,6.41,13.46,0.39,9.3,17.62,-0.45,8.72,15.81,1.22,4.82
3.94,-7.76,3.82,4.54,-8,3.65,7.08,-8,7.98,1.5,-8,7.93
15.56,5.48,16.05,17.98,8,18.23,17.27,3.72,21.55,19.87,3.72,17.18
8.41,0.01,71.7,8.35,-3.99,69.12,12.72,0.02,69.08,12.23,-3.99,70.69
